window,variant,method,regime,sharpe,ann_return,ann_vol,max_drawdown,n_days
504,DYNO-D2s,dynotears,nber_expansion,0.7519,0.0937,0.1306,-0.2163,4095
504,DYNO-D2s,dynotears,low_vol,5.7673,0.4348,0.063,-0.0265,905
504,DYNO-D2s,dynotears,high_vol,-1.3972,-0.3803,0.308,-0.8199,903
504,DYNO-D3,dynotears,all,0.3865,0.0544,0.1784,-0.5608,4515
504,DYNO-D3,dynotears,nber_recession,-0.671,-0.2946,0.3999,-0.5581,420
504,DYNO-D3,dynotears,nber_expansion,0.7588,0.0988,0.1365,-0.2279,4095
504,DYNO-D3,dynotears,low_vol,6.051,0.4622,0.0632,-0.0266,905
504,DYNO-D3,dynotears,high_vol,-1.4201,-0.405,0.3274,-0.8437,903
504,DYNO-D4,dynotears,all,0.387,0.0519,0.167,-0.5296,4515
504,DYNO-D4,dynotears,nber_recession,-0.6403,-0.2671,0.3748,-0.5264,420
504,DYNO-D4,dynotears,nber_expansion,0.7509,0.0916,0.1277,-0.2074,4095
504,DYNO-D4,dynotears,low_vol,5.5541,0.414,0.0628,-0.0283,905
504,DYNO-D4,dynotears,high_vol,-1.3703,-0.3732,0.3062,-0.814,903
504,VARL-D0s,varlingam,all,0.39,0.0527,0.1681,-0.5203,4515
504,VARL-D0s,varlingam,nber_recession,-0.6057,-0.26,0.3783,-0.5192,420
504,VARL-D0s,varlingam,nber_expansion,0.747,0.0915,0.1282,-0.1996,4095
504,VARL-D0s,varlingam,low_vol,5.6448,0.4229,0.0629,-0.0283,905
504,VARL-D0s,varlingam,high_vol,-1.3544,-0.3719,0.3079,-0.8128,903
504,VARL-D1,varlingam,all,0.3833,0.0522,0.1712,-0.5252,4515
504,VARL-D1,varlingam,nber_recession,-0.6396,-0.2729,0.3829,-0.5337,420
504,VARL-D1,varlingam,nber_expansion,0.7424,0.0929,0.1313,-0.2157,4095
504,VARL-D1,varlingam,low_vol,5.8449,0.4423,0.063,-0.0278,905
504,VARL-D1,varlingam,high_vol,-1.3954,-0.3853,0.3131,-0.8248,903
504,VARL-D2,varlingam,all,0.3719,0.0496,0.1686,-0.5233,4515
504,VARL-D2,varlingam,nber_recession,-0.6195,-0.2648,0.3795,-0.524,420
504,VARL-D2,varlingam,nber_expansion,0.7253,0.0887,0.1286,-0.2136,4095
504,VARL-D2,varlingam,low_vol,5.6694,0.4225,0.0625,-0.0276,905
504,VARL-D2,varlingam,high_vol,-1.3868,-0.3792,0.3089,-0.8194,903
504,VARL-D2s,varlingam,all,0.3753,0.0508,0.1712,-0.5247,4515
504,VARL-D2s,varlingam,nber_recession,-0.6238,-0.2687,0.3832,-0.5297,420
504,VARL-D2s,varlingam,nber_expansion,0.727,0.0906,0.1312,-0.216,4095
504,VARL-D2s,varlingam,low_vol,5.8241,0.4395,0.0629,-0.0273,905
504,VARL-D2s,varlingam,high_vol,-1.3935,-0.3849,0.3131,-0.8242,903
504,VARL-D3,varlingam,all,0.3753,0.0526,0.1799,-0.5706,4515
504,VARL-D3,varlingam,nber_recession,-0.6856,-0.3033,0.4059,-0.5674,420
504,VARL-D3,varlingam,nber_expansion,0.7525,0.0981,0.1369,-0.2274,4095
504,VARL-D3,varlingam,low_vol,6.1925,0.475,0.0631,-0.0258,905
504,VARL-D3,varlingam,high_vol,-1.4278,-0.4106,0.3313,-0.8484,903
504,VARL-D4,varlingam,all,0.3698,0.0489,0.1671,-0.5262,4515
504,VARL-D4,varlingam,nber_recession,-0.651,-0.272,0.3774,-0.533,420
504,VARL-D4,varlingam,nber_expansion,0.735,0.089,0.127,-0.2085,4095
504,VARL-D4,varlingam,low_vol,5.7012,0.423,0.0623,-0.0283,905
504,VARL-D4,varlingam,high_vol,-1.3912,-0.3777,0.3067,-0.8173,903
