contrast,method,window,delta_sharpe,ci_lower,ci_upper,p_value
D0s-D0,varlingam,504,0.012513058228522889,-0.0057011047828265165,0.03095930916656791,0.172
D1-D0,varlingam,504,0.005818312258959901,-0.013646541071741599,0.025422995256266498,0.53
D2-D0,varlingam,504,-0.005528728355813195,-0.027583665662861422,0.013302849410725756,0.574
D2s-D0,varlingam,504,-0.002138393779809733,-0.02523649596723087,0.018384744498933427,0.827
D3-D0,varlingam,504,-0.002132112584655732,-0.053370817370409614,0.045078031400380796,0.906
D4-D0,varlingam,504,-0.00766211693558666,-0.031040618244291204,0.019100907010587156,0.564
D0-V0,varlingam,504,0.007034326824299608,-0.012225898172928266,0.030402314583734047,0.452
D0-CORR,varlingam,504,0.014122522561132445,-0.014540877223999006,0.0422177616285233,0.341
D1-CORR,varlingam,504,0.019940834820092346,-0.022273415884755902,0.06076973773806667,0.348
D2s-CORR,varlingam,504,0.011984128781322712,-0.02644098824235852,0.048556673274576655,0.561
best(D0s)-V1,varlingam,504,0.03323248421485342,0.012388485987358607,0.05921208377700122,0.003
GRANGER-DYNO@D1,granger,252,-0.05984044257535426,-0.1358887257868945,0.013378315697957784,0.118
D0lw-D0,dynotears,189,-0.0021268408569113384,-0.03560798216581062,0.02777217652828285,0.875
D1-D0lw,dynotears,189,0.02325058427132709,-0.012102684713142978,0.061318990152574214,0.197
D0df-D0,dynotears,189,0.01857611324643399,-0.030151413333319072,0.06912834102959552,0.458
D1-D0df,dynotears,189,0.0025476301679817626,-0.03393063974484092,0.0381456338162251,0.866
D0lw-D0,dynotears,252,-0.009092977476616582,-0.04682690994730459,0.02271306102276193,0.594
D1-D0lw,dynotears,252,0.017695745050048894,-0.017832272310283608,0.058883549762266334,0.344
D0df-D0,dynotears,252,0.005015692185974696,-0.04519305522704769,0.05286400427895802,0.863
D1-D0df,dynotears,252,0.0035870753874576167,-0.03331303901518646,0.04229582133232244,0.823
D0lw-D0,dynotears,378,-0.019874243362201505,-0.059748707654684825,0.013451106177721214,0.226
D1-D0lw,dynotears,378,0.03225233265697891,-0.003710717098856685,0.07586057327854956,0.075
D0df-D0,dynotears,378,0.01391977397376154,-0.035106078844114715,0.05938916918519047,0.584
D1-D0df,dynotears,378,-0.0015416846789841343,-0.034207342982524834,0.03172776437680231,0.92
D0lw-D0,dynotears,504,-0.019372044762347662,-0.060607611871761474,0.017044352711688845,0.333
D1-D0lw,dynotears,504,0.04238218495903018,0.0032064409408991607,0.08901361657644447,0.035
D0df-D0,dynotears,504,0.03401136727739734,-0.009961846314932068,0.0782425779138501,0.154
D1-D0df,dynotears,504,-0.011001227080714826,-0.04247700907710478,0.0233873648580247,0.51
